business_name,rep_name,product_type,funded_amount,funded_date
Horizon Auto Group,AD,MCA,500000,2026-03-20
Gulf Coast Logistics,AD,SBA,425000,2026-02-08
Carter Medical Staffing,AD,HELOC,375000,2026-02-26
Titan Ventures,AD,SBA,350000,2026-03-15
Yellow Rooster LLC,AD,SBA,350000,2026-03-17
Reeves Construction,AD,MCA,280000,2026-01-22
Pacific Rim Restaurant Group,AD,MCA,195000,2026-03-03
Elite Plumbing Services,AS,EQUIPMENT,150000,2026-03-10
Downtown Dental Arts,AS,MCA,120000,2026-02-15
Metro Landscaping Inc,AT,SBA,95000,2026-03-05
